INFO 2024-12-30 12:29:21,537 autoreload 37192 10332 Watching for file changes with StatReloader
DEBUG 2024-12-30 12:29:21,539 autoreload 37192 10332 Waiting for apps ready_event.
DEBUG 2024-12-30 12:29:26,680 autoreload 37192 10332 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-30 12:29:26,696 autoreload 37192 10332 Watching dir C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-12-30 12:29:26,698 autoreload 37192 10332 Watching dir C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\locale with glob **/*.mo.
DEBUG 2024-12-30 12:29:26,698 autoreload 37192 10332 Watching dir C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-12-30 12:29:26,701 autoreload 37192 10332 Watching dir C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-12-30 12:29:26,701 autoreload 37192 10332 Watching dir C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\simulation01\locale with glob **/*.mo.
DEBUG 2024-12-30 12:29:26,746 utils 37192 11860 (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-12-30 12:29:26,751 utils 37192 11860 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-12-30 12:29:27,134 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\pandas\core\indexers\__init__.py first seen with mtime 1734592884.1659439
DEBUG 2024-12-30 12:29:27,134 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\optimize\_basinhopping.py first seen with mtime 1734661412.9224267
DEBUG 2024-12-30 12:29:27,136 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\corsheaders\signals.py first seen with mtime 1734592862.6560273
DEBUG 2024-12-30 12:29:27,136 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\stats\_axis_nan_policy.py first seen with mtime 1734661413.44756
DEBUG 2024-12-30 12:29:27,137 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\sparse\lil.py first seen with mtime 1734661413.1164594
DEBUG 2024-12-30 12:29:27,138 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\sparse\linalg\matfuncs.py first seen with mtime 1734661413.1834598
DEBUG 2024-12-30 12:29:27,138 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\stats\_binomtest.py first seen with mtime 1734661413.451559
DEBUG 2024-12-30 12:29:27,138 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1734592819.5185726
DEBUG 2024-12-30 12:29:27,139 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1734592818.4723773
DEBUG 2024-12-30 12:29:27,139 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\linalg\_decomp_polar.py first seen with mtime 1734661412.814909
